id,flight_number,airline,airline_code,airline_color,origin_code,dest_code,departure_time,arrival_time,duration_minutes,stops,stopover_code,price,cabin_class,available_seats,total_passengers,aircraft,terminal,gate
19663,QP-162,Akasa Air,QP,#ff5d00,ZER,COK,2026-08-09 01:35:35,2026-08-09 04:53:35,198,0,,14477,Premium Economy,33,146,Airbus A321neo,Terminal 1,Gate 11
19664,AI-722,Air India,AI,#ed1b24,IXY,VNS,2026-08-04 16:20:35,2026-08-04 18:52:35,152,0,,5790,Economy,3,131,Boeing 737 MAX 8,Terminal 2,Gate 3
19665,QP-649,Akasa Air,QP,#ff5d00,VDY,IXG,2026-08-06 04:05:35,2026-08-06 05:54:35,109,1,UTL,5933,Economy,9,159,Airbus A321neo,Terminal 2,Gate 16
19666,6E-656,IndiGo,6E,#001b94,MAL,IMF,2026-08-14 23:20:35,2026-08-15 02:31:35,191,1,ZER,13331,Premium Economy,21,124,Boeing 737 MAX 8,Terminal 1,Gate 20
19667,UK-213,Vistara,UK,#4b164c,PNV,TRV,2026-08-12 09:20:35,2026-08-12 11:46:35,146,0,,9347,Premium Economy,28,144,Boeing 737-800,Terminal 3,Gate 23
19668,6E-884,IndiGo,6E,#001b94,IXT,HYD,2026-08-10 07:05:35,2026-08-10 09:17:35,132,1,BHO,6932,Economy,16,126,Boeing 737-800,Terminal 2,Gate 5
19669,SG-120,SpiceJet,SG,#e60000,MAA,NVM,2026-08-06 12:05:35,2026-08-06 14:30:35,145,0,,11367,Premium Economy,13,162,Airbus A321neo,Terminal 2,Gate 22
19670,6E-240,IndiGo,6E,#001b94,IXR,KQH,2026-08-06 15:35:35,2026-08-06 19:12:35,217,1,DMU,26871,Business Class,5,165,Boeing 737-800,Terminal 2,Gate 6
19671,QP-851,Akasa Air,QP,#ff5d00,IXW,JAI,2026-08-10 05:05:35,2026-08-10 06:32:35,87,0,,55998,First Class,35,137,ATR 72-600,Terminal 1,Gate 5
19672,SG-286,SpiceJet,SG,#e60000,BOM,JRG,2026-08-10 15:05:35,2026-08-10 16:58:35,113,0,,2902,Economy,20,121,Airbus A320neo,Terminal 2,Gate 15
19673,IX-252,Air India Express,IX,#f26522,BOM,JLR,2026-08-06 04:50:35,2026-08-06 06:11:35,81,0,,7399,Economy,22,153,Boeing 737-800,Terminal 1,Gate 4
19674,AI-411,Air India,AI,#ed1b24,RXL,BOK,2026-08-05 07:20:35,2026-08-05 09:02:35,102,0,,3778,Economy,18,170,Airbus A320neo,Terminal 3,Gate 18
19675,AI-534,Air India,AI,#ed1b24,JRH,SDW,2026-08-02 20:05:35,2026-08-02 21:27:35,82,1,RGD,11478,Premium Economy,2,156,Airbus A320neo,Terminal 3,Gate 16
19676,6E-359,IndiGo,6E,#001b94,AMRE,AGX,2026-08-12 22:20:35,2026-08-13 00:14:35,114,0,,23185,Business Class,11,151,Airbus A320neo,Terminal 1,Gate 1
19677,9I-450,Alliance Air,9I,#0083c9,AJL,BPI,2026-08-11 22:50:35,2026-08-12 00:27:35,97,0,,4395,Economy,20,133,Boeing 737 MAX 8,Terminal 2,Gate 13
19678,IX-477,Air India Express,IX,#f26522,IXL,PAL,2026-08-06 16:35:35,2026-08-06 18:27:35,112,0,,11096,Premium Economy,25,139,Airbus A320neo,Terminal 3,Gate 15
19679,IX-239,Air India Express,IX,#f26522,AKL,BOM,2026-08-13 16:50:35,2026-08-13 18:33:35,103,1,KUU,7592,Economy,20,150,Boeing 737-800,Terminal 1,Gate 2
19680,9I-474,Alliance Air,9I,#0083c9,NWP,JAI,2026-08-04 01:05:35,2026-08-04 03:55:35,170,0,,11926,Premium Economy,17,121,Airbus A320neo,Terminal 3,Gate 8
19681,AI-680,Air India,AI,#ed1b24,HBX,TCR,2026-07-31 16:20:35,2026-07-31 18:51:35,151,0,,62309,First Class,23,164,Airbus A321neo,Terminal 3,Gate 2
19682,AI-318,Air India,AI,#ed1b24,ASL,RAT,2026-08-12 13:50:35,2026-08-12 16:09:35,139,0,,6275,Economy,18,126,Boeing 737 MAX 8,Terminal 2,Gate 21
19683,AI-503,Air India,AI,#ed1b24,PNV, سات,2026-08-14 19:05:35,2026-08-14 21:01:35,116,0,,29111,Business Class,22,131,ATR 72-600,Terminal 1,Gate 12
19684,6E-625,IndiGo,6E,#001b94,TEZU,SLN,2026-08-07 19:20:35,2026-08-07 22:32:35,192,0,,6359,Economy,34,134,Airbus A321neo,Terminal 1,Gate 17
19685,9I-309,Alliance Air,9I,#0083c9,VDY,PNQ,2026-08-07 08:20:35,2026-08-07 11:08:35,168,0,,3839,Economy,28,153,Airbus A320neo,Terminal 2,Gate 13
19686,SG-431,SpiceJet,SG,#e60000,BPI,CHI,2026-08-05 18:20:35,2026-08-05 20:58:35,158,0,,15178,Premium Economy,26,174,Boeing 737-800,Terminal 3,Gate 22
19687,UK-572,Vistara,UK,#4b164c,SIH,VJZ,2026-08-05 14:50:35,2026-08-05 17:06:35,136,1,JGA,64758,First Class,32,120,Airbus A320neo,Terminal 1,Gate 22
19688,QP-457,Akasa Air,QP,#ff5d00,RJA,AGX,2026-08-10 03:20:35,2026-08-10 05:46:35,146,0,,61686,First Class,35,145,Airbus A320neo,Terminal 1,Gate 18
19689,AI-479,Air India,AI,#ed1b24,LKO,NWP,2026-08-04 04:50:35,2026-08-04 07:20:35,150,0,,60237,First Class,11,127,ATR 72-600,Terminal 3,Gate 17
19690,9I-124,Alliance Air,9I,#0083c9,KOK,WGC,2026-08-09 15:50:35,2026-08-09 17:04:35,74,0,,8771,Premium Economy,2,175,Airbus A320neo,Terminal 3,Gate 9
19691,SG-792,SpiceJet,SG,#e60000,AJL,KHO,2026-08-03 16:35:35,2026-08-03 19:15:35,160,1,KBK,6715,Economy,11,179,Boeing 737 MAX 8,Terminal 3,Gate 9
19692,QP-158,Akasa Air,QP,#ff5d00,HBX,STV,2026-08-14 10:35:35,2026-08-14 12:03:35,88,0,,48456,First Class,20,125,Airbus A320neo,Terminal 2,Gate 17
19693,9I-737,Alliance Air,9I,#0083c9,UDR,KOP,2026-08-11 23:20:35,2026-08-12 01:02:35,102,0,,11999,Premium Economy,17,174,ATR 72-600,Terminal 3,Gate 2
19694,QP-234,Akasa Air,QP,#ff5d00,SIH,COB,2026-08-14 18:05:35,2026-08-14 21:14:35,189,1,RPR,3315,Economy,10,165,Airbus A320neo,Terminal 2,Gate 24
19695,UK-914,Vistara,UK,#4b164c,IDR,TEZ,2026-08-08 04:35:35,2026-08-08 07:36:35,181,0,,4360,Economy,29,144,Boeing 737 MAX 8,Terminal 3,Gate 6
19696,QP-249,Akasa Air,QP,#ff5d00,CCJ,HJR,2026-08-12 16:20:35,2026-08-12 18:14:35,114,1,MAL,24907,Business Class,20,177,Boeing 737 MAX 8,Terminal 2,Gate 19
19697,QP-386,Akasa Air,QP,#ff5d00,KHA,DHM,2026-08-11 04:20:35,2026-08-11 05:35:35,75,0,,12534,Premium Economy,6,162,Boeing 737-800,Terminal 2,Gate 14
19698,UK-156,Vistara,UK,#4b164c,SAH,UDR,2026-08-12 04:35:35,2026-08-12 06:44:35,129,0,,14599,Premium Economy,17,166,Boeing 737-800,Terminal 2,Gate 16
19699,SG-251,SpiceJet,SG,#e60000,CCJ,MAA,2026-08-14 15:20:35,2026-08-14 16:39:35,79,0,,42939,First Class,37,166,Airbus A321neo,Terminal 1,Gate 15
19700,IX-454,Air India Express,IX,#f26522,AGX,CCU,2026-08-07 15:35:35,2026-08-07 18:55:35,200,0,,25525,Business Class,24,128,Airbus A320neo,Terminal 3,Gate 16
19701,AI-523,Air India,AI,#ed1b24,TEZU,MAA,2026-08-05 10:35:35,2026-08-05 11:43:35,68,0,,25021,Business Class,34,179,Airbus A320neo,Terminal 3,Gate 14
19702,SG-198,SpiceJet,SG,#e60000,PYB,CCU,2026-08-07 09:50:35,2026-08-07 12:44:35,174,0,,5527,Economy,23,165,Airbus A321neo,Terminal 2,Gate 11
19703,UK-549,Vistara,UK,#4b164c,SNE,CHI,2026-08-10 15:35:35,2026-08-10 18:35:35,180,1,RJA,40718,First Class,17,121,Boeing 737-800,Terminal 2,Gate 20
19704,IX-623,Air India Express,IX,#f26522,IXL,HIR,2026-08-04 00:50:35,2026-08-04 02:49:35,119,0,,28809,Business Class,14,161,ATR 72-600,Terminal 3,Gate 13
19705,9I-563,Alliance Air,9I,#0083c9,HBX,KAM,2026-08-03 23:05:35,2026-08-04 02:11:35,186,0,,5684,Economy,5,151,Airbus A321neo,Terminal 1,Gate 17
19706,IX-722,Air India Express,IX,#f26522,NWP,AJL,2026-08-15 08:05:35,2026-08-15 11:26:35,201,0,,14884,Premium Economy,15,148,Airbus A321neo,Terminal 3,Gate 20
19707,SG-564,SpiceJet,SG,#e60000,LGP,JAI,2026-08-05 14:05:35,2026-08-05 17:15:35,190,0,,10859,Premium Economy,11,130,Boeing 737 MAX 8,Terminal 2,Gate 23
19708,SG-327,SpiceJet,SG,#e60000,RPR,GAY,2026-08-10 02:50:35,2026-08-10 06:08:35,198,0,,9112,Premium Economy,7,142,ATR 72-600,Terminal 1,Gate 24
19709,AI-269,Air India,AI,#ed1b24,PINJ,JGA,2026-08-11 00:50:35,2026-08-11 02:47:35,117,1,LGP,44342,First Class,13,145,Boeing 737-800,Terminal 3,Gate 17
19710,SG-367,SpiceJet,SG,#e60000,TEZ,DHR,2026-08-11 06:20:35,2026-08-11 09:07:35,167,0,,4123,Economy,12,171,Airbus A321neo,Terminal 2,Gate 5
19711,UK-218,Vistara,UK,#4b164c,UDR,SIH,2026-08-11 22:20:35,2026-08-12 01:36:35,196,0,,5739,Economy,21,169,ATR 72-600,Terminal 2,Gate 14
19712,SG-307,SpiceJet,SG,#e60000,CFH,VTZ,2026-08-09 21:05:35,2026-08-09 23:24:35,139,0,,12622,Premium Economy,7,127,Boeing 737-800,Terminal 3,Gate 24
19713,UK-938,Vistara,UK,#4b164c,JAI,RGD,2026-08-10 15:05:35,2026-08-10 17:39:35,154,0,,55428,First Class,17,144,Airbus A320neo,Terminal 1,Gate 13
19714,9I-694,Alliance Air,9I,#0083c9,KJB,GOX,2026-08-02 08:35:35,2026-08-02 10:51:35,136,0,,32619,Business Class,9,180,ATR 72-600,Terminal 1,Gate 13
19715,UK-751,Vistara,UK,#4b164c,MYQ,SIH,2026-08-05 20:20:35,2026-08-05 21:58:35,98,0,,5716,Economy,28,140,Boeing 737-800,Terminal 3,Gate 15
19716,6E-783,IndiGo,6E,#001b94,MZS,VZY,2026-08-05 21:20:35,2026-08-05 23:35:35,135,1,JRH,31183,Business Class,7,173,Boeing 737 MAX 8,Terminal 3,Gate 17
19717,6E-263,IndiGo,6E,#001b94,RPR,AJL,2026-08-08 22:20:35,2026-08-09 01:13:35,173,0,,13168,Premium Economy,37,122,ATR 72-600,Terminal 3,Gate 24
19718,IX-845,Air India Express,IX,#f26522,NPL,DED,2026-08-14 11:50:35,2026-08-14 14:53:35,183,1,LUD,43367,First Class,21,149,Airbus A320neo,Terminal 1,Gate 13
19719,6E-405,IndiGo,6E,#001b94,TEZ,TIR,2026-08-03 01:20:35,2026-08-03 03:08:35,108,0,,32728,Business Class,35,169,Boeing 737-800,Terminal 3,Gate 10
19720,QP-758,Akasa Air,QP,#ff5d00,BAR,SAH,2026-08-05 19:20:35,2026-08-05 22:06:35,166,0,,9333,Premium Economy,33,140,Airbus A320neo,Terminal 2,Gate 10
19721,UK-598,Vistara,UK,#4b164c,HYD,IXU,2026-08-08 13:35:35,2026-08-08 15:58:35,143,0,,54151,First Class,37,171,Airbus A320neo,Terminal 2,Gate 8
19722,UK-985,Vistara,UK,#4b164c,SSE,MUZ,2026-08-06 18:20:35,2026-08-06 21:52:35,212,0,,26748,Business Class,27,160,ATR 72-600,Terminal 3,Gate 3
19723,QP-300,Akasa Air,QP,#ff5d00,DON,TEZU,2026-08-15 09:05:35,2026-08-15 10:04:35,59,0,,55196,First Class,26,132,Boeing 737-800,Terminal 1,Gate 15
19724,6E-883,IndiGo,6E,#001b94,NPL,IXJ,2026-08-09 00:35:35,2026-08-09 01:35:35,60,0,,4425,Economy,5,158,ATR 72-600,Terminal 1,Gate 2
19725,QP-399,Akasa Air,QP,#ff5d00,JGA,DUM,2026-08-11 03:05:35,2026-08-11 05:33:35,148,1,JGD,61742,First Class,13,145,Boeing 737 MAX 8,Terminal 3,Gate 23
19726,6E-269,IndiGo,6E,#001b94,RGD,DGR,2026-08-07 17:35:35,2026-08-07 20:02:35,147,0,,6054,Economy,19,145,ATR 72-600,Terminal 2,Gate 23
19727,IX-816,Air India Express,IX,#f26522,REW,TRZ,2026-08-07 08:50:35,2026-08-07 09:56:35,66,0,,12639,Premium Economy,6,157,Airbus A321neo,Terminal 3,Gate 15
19728,QP-276,Akasa Air,QP,#ff5d00,GOI,PYG,2026-08-03 12:20:35,2026-08-03 14:03:35,103,0,,13236,Premium Economy,3,165,Airbus A321neo,Terminal 3,Gate 5
19729,6E-122,IndiGo,6E,#001b94,NVY,JSA,2026-08-13 10:20:35,2026-08-13 13:35:35,195,1,AGR,9175,Premium Economy,22,128,Boeing 737 MAX 8,Terminal 1,Gate 1
19730,6E-306,IndiGo,6E,#001b94,JHW,KAM,2026-08-13 06:35:35,2026-08-13 07:47:35,72,0,,38613,First Class,36,131,Boeing 737-800,Terminal 3,Gate 16
19731,SG-263,SpiceJet,SG,#e60000,IXJ,BDQ,2026-08-09 20:35:35,2026-08-09 23:19:35,164,0,,14087,Premium Economy,24,130,ATR 72-600,Terminal 3,Gate 20
19732,AI-915,Air India,AI,#ed1b24,IXJ,SLV,2026-08-01 19:20:35,2026-08-01 20:29:35,69,1,COB,46736,First Class,16,156,ATR 72-600,Terminal 2,Gate 11
19733,6E-608,IndiGo,6E,#001b94,KARN,AMB,2026-08-11 03:05:35,2026-08-11 05:11:35,126,0,,12351,Premium Economy,10,176,Airbus A321neo,Terminal 1,Gate 15
19734,QP-319,Akasa Air,QP,#ff5d00,KAI,IXP,2026-08-04 11:20:35,2026-08-04 12:18:35,58,1,IXB,9578,Premium Economy,20,138,Boeing 737 MAX 8,Terminal 3,Gate 2
19735,IX-605,Air India Express,IX,#f26522,COB,SIV,2026-08-12 20:35:35,2026-08-12 22:33:35,118,0,,10356,Premium Economy,29,167,Airbus A320neo,Terminal 1,Gate 17
19736,QP-630,Akasa Air,QP,#ff5d00,NAG,HJR,2026-08-10 15:20:35,2026-08-10 16:30:35,70,0,,31656,Business Class,8,151,Airbus A321neo,Terminal 2,Gate 23
19737,SG-179,SpiceJet,SG,#e60000,MRA,JHW,2026-08-12 03:35:35,2026-08-12 06:23:35,168,0,,21880,Business Class,15,128,Airbus A320neo,Terminal 1,Gate 12
19738,SG-377,SpiceJet,SG,#e60000,PGH,IXP,2026-08-15 09:05:35,2026-08-15 11:53:35,168,1,HYD,11517,Premium Economy,20,143,Boeing 737-800,Terminal 2,Gate 11
19739,IX-534,Air India Express,IX,#f26522,RJA,JSA,2026-08-09 06:50:35,2026-08-09 08:59:35,129,0,,6893,Economy,8,165,ATR 72-600,Terminal 1,Gate 7
19740,9I-788,Alliance Air,9I,#0083c9,DIU,RKG,2026-08-07 06:20:35,2026-08-07 08:30:35,130,0,,25901,Business Class,6,128,ATR 72-600,Terminal 1,Gate 24
19741,SG-432,SpiceJet,SG,#e60000,DHR,KHA,2026-08-04 15:05:35,2026-08-04 17:02:35,117,0,,10558,Premium Economy,21,178,Airbus A320neo,Terminal 2,Gate 15
19742,6E-575,IndiGo,6E,#001b94,SWM,JDH,2026-08-07 04:50:35,2026-08-07 08:28:35,218,1,JGA,61426,First Class,36,140,Airbus A321neo,Terminal 3,Gate 17
19743,9I-799,Alliance Air,9I,#0083c9,SAH,IXG,2026-08-09 09:05:35,2026-08-09 12:42:35,217,0,,39526,First Class,7,149,Airbus A321neo,Terminal 3,Gate 10
19744,SG-528,SpiceJet,SG,#e60000,MZS,DHR,2026-08-01 06:20:35,2026-08-01 07:38:35,78,0,,7245,Economy,7,130,ATR 72-600,Terminal 2,Gate 2
19745,QP-747,Akasa Air,QP,#ff5d00,LUD,LKO,2026-08-03 07:50:35,2026-08-03 10:12:35,142,0,,23391,Business Class,12,152,Boeing 737-800,Terminal 1,Gate 6
19746,IX-289,Air India Express,IX,#f26522,BGP,PNY,2026-08-11 08:35:35,2026-08-11 11:37:35,182,0,,8899,Premium Economy,11,152,Boeing 737-800,Terminal 1,Gate 14
19747,QP-551,Akasa Air,QP,#ff5d00,PNQ,CNN,2026-08-07 03:20:35,2026-08-07 05:43:35,143,0,,4757,Economy,6,137,Airbus A320neo,Terminal 1,Gate 5
19748,6E-528,IndiGo,6E,#001b94,SIV,KOK,2026-08-12 07:20:35,2026-08-12 10:19:35,179,1,OSB,28244,Business Class,8,179,Airbus A320neo,Terminal 3,Gate 23
19749,6E-587,IndiGo,6E,#001b94,PAL,DON,2026-08-08 05:50:35,2026-08-08 07:42:35,112,0,,14125,Premium Economy,27,154,Airbus A320neo,Terminal 3,Gate 21
19750,AI-464,Air India,AI,#ed1b24,SLN,AMR,2026-08-10 03:05:35,2026-08-10 06:25:35,200,0,,13942,Premium Economy,2,136,Boeing 737-800,Terminal 3,Gate 4
19751,AI-237,Air India,AI,#ed1b24,NMS,PYB,2026-08-12 21:35:35,2026-08-12 22:51:35,76,0,,21046,Business Class,32,139,Boeing 737 MAX 8,Terminal 3,Gate 3
19752,9I-627,Alliance Air,9I,#0083c9,IXC, سات,2026-08-08 07:20:35,2026-08-08 10:31:35,191,0,,20230,Business Class,19,171,Boeing 737-800,Terminal 1,Gate 2
19753,IX-897,Air India Express,IX,#f26522,RGD,SIV,2026-08-06 11:20:35,2026-08-06 13:59:35,159,1,NPL,50218,First Class,29,157,Airbus A321neo,Terminal 1,Gate 21
19754,UK-213,Vistara,UK,#4b164c,NWP,RAT,2026-08-15 00:05:35,2026-08-15 03:02:35,177,0,,6563,Economy,31,171,ATR 72-600,Terminal 2,Gate 14
19755,6E-626,IndiGo,6E,#001b94,PINJ,BGP,2026-08-14 21:05:35,2026-08-15 00:33:35,208,1,BHJ,41769,First Class,13,151,Boeing 737 MAX 8,Terminal 3,Gate 20
19756,SG-347,SpiceJet,SG,#e60000,IXD,JGA,2026-08-10 06:50:35,2026-08-10 09:12:35,142,0,,23844,Business Class,37,129,Airbus A321neo,Terminal 3,Gate 23
19757,UK-304,Vistara,UK,#4b164c,PAT,WGC,2026-08-01 02:50:35,2026-08-01 04:34:35,104,1,SAH,50809,First Class,4,179,Boeing 737-800,Terminal 1,Gate 3
19758,AI-487,Air India,AI,#ed1b24,PINJ,RMD,2026-08-14 22:20:35,2026-08-15 01:21:35,181,1,KAP,15461,Premium Economy,3,123,ATR 72-600,Terminal 3,Gate 20
19759,SG-588,SpiceJet,SG,#e60000,MYQ,KAI,2026-07-31 23:20:35,2026-08-01 01:29:35,129,0,,39059,First Class,18,123,Boeing 737-800,Terminal 2,Gate 5
19760,IX-579,Air India Express,IX,#f26522,DBR,NMS,2026-08-06 11:05:35,2026-08-06 14:30:35,205,0,,4902,Economy,14,129,Boeing 737-800,Terminal 3,Gate 22
19761,QP-734,Akasa Air,QP,#ff5d00,NWP,DBR,2026-08-03 00:20:35,2026-08-03 01:38:35,78,0,,65306,First Class,32,159,Boeing 737-800,Terminal 2,Gate 9
19762,QP-341,Akasa Air,QP,#ff5d00,CJB,BOM,2026-08-12 18:35:35,2026-08-12 20:29:35,114,0,,26909,Business Class,36,142,Airbus A320neo,Terminal 1,Gate 6
19763,QP-396,Akasa Air,QP,#ff5d00,AMB,IXD,2026-08-12 09:50:35,2026-08-12 12:28:35,158,0,,58262,First Class,26,121,Boeing 737 MAX 8,Terminal 1,Gate 6
19764,UK-803,Vistara,UK,#4b164c,BAR,JHW,2026-08-04 09:50:35,2026-08-04 11:43:35,113,1,AMR,3272,Economy,31,141,ATR 72-600,Terminal 2,Gate 3
19765,AI-570,Air India,AI,#ed1b24,JGA,VZY,2026-08-10 21:50:35,2026-08-11 00:07:35,137,0,,48400,First Class,8,176,ATR 72-600,Terminal 3,Gate 16
19766,9I-820,Alliance Air,9I,#0083c9,SWM,LGP,2026-08-09 09:35:35,2026-08-09 12:39:35,184,1,JDH,62134,First Class,12,172,Boeing 737-800,Terminal 2,Gate 1
19767,AI-726,Air India,AI,#ed1b24,NMN,SHL,2026-08-09 02:05:35,2026-08-09 03:42:35,97,0,,29878,Business Class,38,176,ATR 72-600,Terminal 1,Gate 14
19768,AI-204,Air India,AI,#ed1b24,GAW,ZER,2026-08-04 01:50:35,2026-08-04 05:14:35,204,0,,45656,First Class,11,163,Airbus A320neo,Terminal 3,Gate 24
19769,AI-143,Air India,AI,#ed1b24,PYG,DMO,2026-08-14 03:35:35,2026-08-14 06:33:35,178,0,,26967,Business Class,28,162,Airbus A320neo,Terminal 3,Gate 5
19770,9I-126,Alliance Air,9I,#0083c9,HBX,RKG,2026-08-15 09:50:35,2026-08-15 13:14:35,204,0,,9166,Premium Economy,30,173,Boeing 737 MAX 8,Terminal 3,Gate 15
19771,QP-836,Akasa Air,QP,#ff5d00,HBI,DED,2026-08-02 06:05:35,2026-08-02 07:57:35,112,0,,14870,Premium Economy,27,123,Airbus A320neo,Terminal 3,Gate 8
19772,QP-923,Akasa Air,QP,#ff5d00,NAG,IXA,2026-08-04 06:35:35,2026-08-04 10:08:35,213,0,,42864,First Class,11,163,ATR 72-600,Terminal 2,Gate 8
19773,SG-872,SpiceJet,SG,#e60000,HZD,SNE,2026-08-14 02:35:35,2026-08-14 05:09:35,154,1,IDR,9106,Premium Economy,37,129,Boeing 737 MAX 8,Terminal 1,Gate 14
19774,6E-220,IndiGo,6E,#001b94,HYD,AMB,2026-08-11 12:05:35,2026-08-11 15:12:35,187,0,,4039,Economy,34,158,Airbus A321neo,Terminal 2,Gate 21
19775,AI-296,Air India,AI,#ed1b24,JDH,AMRE,2026-08-09 16:20:35,2026-08-09 19:52:35,212,0,,65453,First Class,13,178,ATR 72-600,Terminal 3,Gate 14
19776,UK-296,Vistara,UK,#4b164c,IXY,IXU,2026-08-13 19:05:35,2026-08-13 22:44:35,219,1,BOM,51896,First Class,7,143,Airbus A321neo,Terminal 3,Gate 20
19777,IX-428,Air India Express,IX,#f26522,CKU,LGP,2026-08-09 02:50:35,2026-08-09 04:48:35,118,0,,29188,Business Class,13,164,Airbus A321neo,Terminal 1,Gate 14
19778,UK-560,Vistara,UK,#4b164c,PNQ,GON,2026-08-09 15:05:35,2026-08-09 18:35:35,210,1,AGR,47541,First Class,14,127,ATR 72-600,Terminal 1,Gate 13
19779,9I-177,Alliance Air,9I,#0083c9,TIR,SAH,2026-08-08 01:05:35,2026-08-08 04:20:35,195,0,,45340,First Class,19,147,Airbus A320neo,Terminal 2,Gate 3
19780,6E-407,IndiGo,6E,#001b94,KOP,IXP,2026-08-11 09:20:35,2026-08-11 11:37:35,137,0,,15215,Premium Economy,28,127,Airbus A321neo,Terminal 1,Gate 18
19781,AI-546,Air India,AI,#ed1b24,ATQ,NMS,2026-08-11 18:50:35,2026-08-11 20:14:35,84,0,,11333,Premium Economy,29,149,Boeing 737-800,Terminal 2,Gate 13
19782,IX-692,Air India Express,IX,#f26522,PBN,VTZ,2026-08-01 02:05:35,2026-08-01 04:47:35,162,0,,40506,First Class,20,177,Airbus A321neo,Terminal 3,Gate 22
19783,AI-351,Air India,AI,#ed1b24,BOK,BDQ,2026-08-03 18:35:35,2026-08-03 19:41:35,66,0,,30333,Business Class,16,142,Airbus A321neo,Terminal 1,Gate 9
19784,AI-425,Air India,AI,#ed1b24,TIR,BOK,2026-08-10 16:50:35,2026-08-10 20:19:35,209,0,,4382,Economy,7,122,Boeing 737 MAX 8,Terminal 1,Gate 6
19785,IX-312,Air India Express,IX,#f26522,BAR,SSE,2026-08-15 07:20:35,2026-08-15 10:52:35,212,0,,6951,Economy,33,137,Airbus A321neo,Terminal 1,Gate 14
19786,AI-350,Air India,AI,#ed1b24,PGH,PNY,2026-08-05 08:50:35,2026-08-05 10:44:35,114,0,,57252,First Class,38,164,ATR 72-600,Terminal 2,Gate 18
19787,9I-951,Alliance Air,9I,#0083c9,AMH,MRA,2026-08-06 07:50:35,2026-08-06 10:56:35,186,0,,33387,Business Class,30,145,Boeing 737 MAX 8,Terminal 2,Gate 17
19788,SG-692,SpiceJet,SG,#e60000,AJL,HSS,2026-08-01 08:05:35,2026-08-01 09:10:35,65,1,IXJ,10999,Premium Economy,32,164,Airbus A321neo,Terminal 1,Gate 7
19789,UK-902,Vistara,UK,#4b164c,DUM,IXJ,2026-08-04 05:50:35,2026-08-04 08:46:35,176,1,DGR,53110,First Class,18,169,Boeing 737-800,Terminal 3,Gate 6
19790,9I-849,Alliance Air,9I,#0083c9,BOM,TEZ,2026-08-04 03:20:35,2026-08-04 06:26:35,186,0,,7305,Economy,5,127,ATR 72-600,Terminal 3,Gate 24
19791,UK-329,Vistara,UK,#4b164c,RXL,SSE,2026-07-31 17:20:35,2026-07-31 19:08:35,108,0,,66009,First Class,11,179,Airbus A320neo,Terminal 2,Gate 9
19792,9I-401,Alliance Air,9I,#0083c9,IXD,KHA,2026-08-09 15:05:35,2026-08-09 18:14:35,189,0,,21115,Business Class,14,152,ATR 72-600,Terminal 1,Gate 23
19793,SG-345,SpiceJet,SG,#e60000,LKO,ATQ,2026-08-07 03:05:35,2026-08-07 05:46:35,161,0,,50745,First Class,25,168,ATR 72-600,Terminal 3,Gate 13
19794,UK-728,Vistara,UK,#4b164c,JGA,KBK,2026-08-14 22:50:35,2026-08-15 01:26:35,156,0,,3686,Economy,9,151,Airbus A321neo,Terminal 1,Gate 9
19795,QP-803,Akasa Air,QP,#ff5d00,LUD,IXD,2026-07-31 14:05:35,2026-07-31 15:01:35,56,0,,11230,Premium Economy,31,155,Boeing 737 MAX 8,Terminal 1,Gate 3
19796,AI-448,Air India,AI,#ed1b24,PINJ,IXW,2026-08-14 03:20:35,2026-08-14 06:02:35,162,0,,49455,First Class,21,160,ATR 72-600,Terminal 2,Gate 2
19797,IX-319,Air India Express,IX,#f26522,TEZU,ZER,2026-08-04 10:20:35,2026-08-04 11:38:35,78,0,,3891,Economy,16,132,Airbus A321neo,Terminal 3,Gate 2
19798,UK-189,Vistara,UK,#4b164c,NMN,NDC,2026-08-08 11:05:35,2026-08-08 13:07:35,122,0,,12768,Premium Economy,15,166,Boeing 737 MAX 8,Terminal 2,Gate 1
19799,AI-829,Air India,AI,#ed1b24,PYB,KAM,2026-08-09 03:05:35,2026-08-09 04:11:35,66,0,,51718,First Class,13,125,Boeing 737-800,Terminal 2,Gate 6
19800,UK-187,Vistara,UK,#4b164c,ALD,JRG,2026-08-03 11:35:35,2026-08-03 13:32:35,117,0,,12247,Premium Economy,35,164,Boeing 737 MAX 8,Terminal 2,Gate 16
19801,AI-730,Air India,AI,#ed1b24,HSR,NVY,2026-08-09 20:05:35,2026-08-09 21:23:35,78,0,,3936,Economy,14,144,Airbus A320neo,Terminal 3,Gate 24
19802,6E-939,IndiGo,6E,#001b94,LAT,KOK,2026-08-09 09:35:35,2026-08-09 12:16:35,161,0,,6507,Economy,28,137,Boeing 737-800,Terminal 1,Gate 2
19803,IX-838,Air India Express,IX,#f26522,RGD,IXW,2026-08-05 08:35:35,2026-08-05 09:45:35,70,0,,3917,Economy,7,137,ATR 72-600,Terminal 1,Gate 18
19804,UK-853,Vistara,UK,#4b164c,KOP,ASL,2026-08-09 08:35:35,2026-08-09 09:37:35,62,1,IXZ,6209,Economy,21,162,Boeing 737-800,Terminal 3,Gate 17
19805,UK-593,Vistara,UK,#4b164c,GAY,DED,2026-08-07 09:35:35,2026-08-07 12:49:35,194,1,PNV,11623,Premium Economy,32,169,Airbus A321neo,Terminal 2,Gate 2
